,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OTAU017482-RA,126.291607961615,15.0718249886954,1.76125154237443,8.55745169050436,1.15389706994152e-17,1.69276700160421e-13
OTAU012716-RA,188.877675219285,-13.09287517414,1.71767205056738,-7.62245340710713,2.48898975261557e-14,1.82567398354352e-10
OTAU012562-RA,251.774363762084,3.38055864193055,0.46969591236223,7.19733460086716,6.14009598754748e-13,3.00250693791072e-09
OTAU013946-RA,946.743255948768,-1.5736306511774,0.226943806835403,-6.93401011078797,4.09075396833412e-12,1.50028401788654e-08
OTAU008667-RA,231.871114768253,3.45341189835391,0.502709953799291,6.86959124690955,6.43861232374193e-12,1.5742407131549e-08
OTAU012035-RA,284.400671242117,11.3948466605882,1.65683994992079,6.87745769356477,6.0930109085519e-12,1.5742407131549e-08
OTAU011160-RA,10.2415158223762,9.47681779702368,1.44593096137547,6.55412882784436,5.59676357684256e-11,1.17292173817543e-07
OTAU017158-RA,9.81334690400048,11.0912229563562,1.76792226253959,6.2735919963041,3.52812303910684e-10,6.46969562296216e-07
OTAU005858-RA,1039.39026884258,-1.79073941120567,0.291854175595341,-6.13573339340724,8.4767214399585e-10,1.38170559471323e-06
OTAU008480-RA,662.420865312974,2.35288108172109,0.388996904155435,6.04858562262729,1.46122957259473e-09,2.14362378299647e-06
OTAU004278-RA,953.880991843642,2.80199342616907,0.466288896470354,6.00913606860295,1.86514540332454e-09,2.48742573334282e-06
OTAU014765-RA,257.123538643577,-2.86269735657592,0.478685042999754,-5.98033591907611,2.2267792886786e-09,2.51283478191655e-06
OTAU014798-RA,22.2940693517975,-5.06857963296923,0.847434618813369,-5.98108635220328,2.21654321905714e-09,2.51283478191655e-06
OTAU003416-RA,3279.29864805945,0.537440235551345,0.0901875504645299,5.95913995649229,2.53568867473764e-09,2.54116684779032e-06
OTAU013988-RA,4.4169546348091,-11.7735534145452,1.9770371740058,-5.95515024671493,2.59833011021505e-09,2.54116684779032e-06
